id,topic,treatment,submission,duration,accuracy_local,accuracy_global,effort,difficulty,num_sentences,num_clusters,local_cohesion,num_concepts,num_coh_sentences,num_non_coh_sentences,num_relations,global_cohesion,color_coding,cmap
au03ur59,transfer,control-group,2018-01-10T17:23:18Z,925.981,40,69,2,2,10,3,0.444444444444,36,4,5,73,3.5,no_color_coding,no-cmap
au03ur59,draft,cmap,2018-01-10T17:00:43Z,804.972,60,80,2,3,16,4,0.266666666667,33,4,11,63,3.5,no_color_coding,cmap
au03ur59,revision,cmap,2018-01-10T17:00:43Z,772.126,81,80,3,2,16,3,0.333333333333,32,5,10,67,3.5,no_color_coding,cmap
ba01ma79,transfer,control-group,2018-07-09T16:17:35Z,896.296,61,58,3,4,8,2,0.571428571429,16,4,3,18,1.5,no_color_coding,no-cmap
ba01ma79,draft,cmap,2018-07-09T15:54:21Z,978.153,29,37,3,4,7,2,0.5,12,3,3,21,1,no_color_coding,cmap
ba01ma79,revision,cmap,2018-07-09T15:54:21Z,844.122,71,71,4,4,6,2,0.6,15,3,2,33,1,no_color_coding,cmap
ba03ch69,transfer,control-group,2017-12-20T11:33:50Z,957.613,75,70,1,4,9,1,0.625,24,5,3,41,NA,no_color_coding,no-cmap
ba03ch69,draft,control-group,2017-12-20T11:12:24Z,904.305,70,90,1,7,11,1,0.6,20,6,4,40,2,no_color_coding,no-cmap
ba03ch69,revision,control-group,2017-12-20T11:12:24Z,706.902,95,95,1,9,12,1,0.636363636364,20,7,4,40,2,no_color_coding,no-cmap
ba03is27,transfer,control-group,2018-06-04T16:12:47Z,910.292,51,49,2,1,8,2,0.428571428571,18,3,4,22,1,no_color_coding,no-cmap
ba03is27,draft,cmap,2018-06-04T15:46:01Z,914.114,61,65,2,2,13,1,0.416666666667,24,5,7,46,2.5,no_color_coding,cmap
ba03is27,revision,cmap,2018-06-04T15:46:01Z,976.025,80,80,3,3,17,1,0.4375,26,7,9,43,3.5,no_color_coding,cmap
ba06ni84,transfer,control-group,2018-05-03T15:17:24Z,586.874,89,87,2,7,11,3,0.6,25,6,4,45,2.5,no_color_coding,no-cmap
ba06ni84,draft,integrated,2018-05-03T15:01:39Z,549.394,91,86,3,8,5,1,1,19,4,0,45,2,color_coding,no-cmap
ba06ni84,revision,integrated,2018-05-03T15:01:39Z,870.124,80,86,2,1,6,1,1,22,5,0,53,2,color_coding,no-cmap
ba09al58,transfer,control-group,2018-01-04T17:42:21Z,772.165,61,71,5,7,7,1,0.666666666667,29,4,2,59,2,no_color_coding,no-cmap
ba09al58,draft,integrated,2018-01-04T17:24:50Z,620.607,63,74,3,2,10,3,0.333333333333,24,3,6,30,1.5,color_coding,no-cmap
ba09al58,revision,integrated,2018-01-04T17:24:50Z,817.198,80,80,2,7,13,1,0.666666666667,33,8,4,68,1.5,color_coding,no-cmap
ba11sy06,transfer,control-group,2018-01-31T15:35:59Z,825.258,50,50,1,7,16,6,0.333333333333,37,5,10,53,0,no_color_coding,no-cmap
ba11sy06,draft,control-group,2018-01-31T15:18:37Z,978.317,70,80,2,7,12,2,0.454545454545,29,5,6,65,1,no_color_coding,no-cmap
ba11sy06,revision,control-group,2018-01-31T15:18:37Z,615.116,50,50,2,6,16,2,0.733333333333,34,11,4,83,1,no_color_coding,no-cmap
ba17na84,transfer,control-group,2018-04-17T15:32:50Z,896.482,21,30,2,2,8,1,0.571428571429,40,4,3,93,2.5,no_color_coding,no-cmap
ba17na84,draft,cmap-integrated,2018-04-17T15:13:27Z,901.152,35,75,2,3,9,3,0.5,35,4,4,68,2,color_coding,cmap
ba17na84,revision,cmap-integrated,2018-04-17T15:13:27Z,953.896,79,82,3,7,12,1,0.454545454545,39,5,6,91,3.5,color_coding,cmap
be10an62,transfer,control-group,2018-06-21T09:29:27Z,659.079,57,59,3,4,6,3,0,13,0,5,12,1,no_color_coding,no-cmap
be10an62,draft,integrated,2018-06-21T09:13:08Z,542.927,41,42,3,5,5,1,1,14,4,0,28,1,color_coding,no-cmap
be10an62,revision,integrated,2018-06-21T09:13:08Z,787.498,59,61,2,3,7,1,1,19,6,0,32,3,color_coding,no-cmap
be17su07,transfer,control-group,2017-12-20T15:39:48Z,907.726,62,60,3,6,15,1,0.5,27,7,7,31,1,no_color_coding,no-cmap
be17su07,draft,cmap,2017-12-20T15:19:31Z,922.149,71,43,3,3,11,4,0.4,24,4,6,26,1.5,no_color_coding,cmap
be17su07,revision,cmap,2017-12-20T15:19:31Z,946.899,69,77,2,7,14,3,0.538461538462,32,7,6,37,1.5,no_color_coding,cmap
be22ur69,draft,cmap,2018-06-15T13:51:43Z,783.831,32,46,4,3,11,1,0.2,13,2,8,29,1.5,no_color_coding,cmap
be22ur69,revision,cmap,2018-06-15T13:51:43Z,848.981,42,75,3,4,12,1,0.363636363636,15,4,7,23,2.5,no_color_coding,cmap
be22ur69,transfer,control-group,2018-06-15T14:20:04Z,872.314,33,55,6,5,16,1,0.466666666667,28,7,8,54,3,no_color_coding,no-cmap
be27he76,transfer,control-group,2018-05-14T15:33:52Z,887.131,69,65,2,8,12,3,0.454545454545,29,5,6,41,1.5,no_color_coding,no-cmap
be27he76,draft,cmap-integrated,2018-05-14T15:14:13Z,909.734,60,60,2,3,14,1,0.769230769231,24,10,3,56,3,color_coding,cmap
be27he76,revision,cmap-integrated,2018-05-14T15:14:13Z,932.055,72,75,2,3,19,1,0.611111111111,32,11,7,66,4,color_coding,cmap
bi01he40,transfer,control-group,2018-06-11T15:51:11Z,813.696,56,43,4,6,11,1,0.5,25,5,5,47,3,no_color_coding,no-cmap
bi01he40,draft,integrated,2018-06-11T15:34:04Z,728.405,70,29,3,2,13,2,0.333333333333,29,4,8,48,1,color_coding,no-cmap
bi01he40,revision,integrated,2018-06-11T15:34:04Z,889.818,80,51,3,5,12,1,0.727272727273,30,8,3,61,1.5,color_coding,no-cmap
bi29an47,transfer,control-group,2018-06-04T16:08:47Z,908.128,30,50,2,1,12,1,0.818181818182,29,9,2,74,3,no_color_coding,no-cmap
bi29an47,draft,cmap-integrated,2018-06-04T15:46:13Z,881.385,30,55,2,1,9,2,0.75,25,6,2,53,2.5,color_coding,cmap
bi29an47,revision,cmap-integrated,2018-06-04T15:46:13Z,978.41,70,60,1,2,14,1,0.692307692308,32,9,4,79,4,color_coding,cmap
br06si22,transfer,control-group,2018-02-06T18:31:23Z,897.26,65,53,3,7,10,3,0.333333333333,39,3,6,84,3,no_color_coding,no-cmap
br06si22,draft,cmap,2018-02-06T18:11:12Z,910.588,68,52,2,2,9,4,0.375,34,3,5,71,2,no_color_coding,cmap
br06si22,revision,cmap,2018-02-06T18:11:12Z,945.004,77,84,2,4,15,2,0.285714285714,48,4,10,118,2.5,no_color_coding,cmap
bu08do21,transfer,control-group,2018-01-10T17:23:07Z,923.666,75,66,2,3,13,1,0.666666666667,41,8,4,74,2,no_color_coding,no-cmap
bu08do21,draft,integrated,2018-01-10T17:00:42Z,809.26,60,42,3,7,20,3,0.631578947368,33,12,7,74,3,color_coding,no-cmap
bu08do21,revision,integrated,2018-01-10T17:00:42Z,770.258,85,59,4,7,21,2,0.65,37,13,7,91,3,color_coding,no-cmap
