id,age,sex,language,subject,num_semester_subject,num_semester,number,treatment,prior_knowledge_osmosis,prior_knowledge_natural_selection,elves_sf,elves_tv,duration_transfer,duration_draft,duration_revision,accuracy_local_transfer,accuracy_local_draft,accuracy_local_revision,accuracy_global_transfer,accuracy_global_draft,accuracy_global_revision,effort_transfer,effort_draft,effort_revision,difficulty_transfer,difficulty_draft,difficulty_revision,num_sentences_transfer,num_sentences_draft,num_sentences_revision,num_clusters_transfer,num_clusters_draft,num_clusters_revision,num_concepts_transfer,num_concepts_draft,num_concepts_revision,num_coh_sentences_transfer,num_coh_sentences_draft,num_coh_sentences_revision,num_non_coh_sentences_transfer,num_non_coh_sentences_draft,num_non_coh_sentences_revision,num_relations_transfer,num_relations_draft,num_relations_revision,global_cohesion_transfer,global_cohesion_draft,global_cohesion_revision,accuracy_global_osmosis_revision,accuracy_global_osmosis_draft,accuracy_global_natural_selection_transfer,accuracy_local_osmosis_revision,accuracy_local_osmosis_draft,accuracy_local_natural_selection_transfer,bias_global_osmosis_revision,bias_global_osmosis_draft,bias_global_natural_selection_transfer,bias_local_osmosis_revision,bias_local_osmosis_draft,bias_local_natural_selection_transfer
1,22,weiblich,Ja,biologie (b.sc.),1,1,25,cmap,0.75,0.7,19.2811178276509,12.6868062903871,925.981,804.972,772.126,40,60,81,69,80,80,2,2,3,2,3,2,10,16,16,3,4,3,36,33,32,4,4,5,5,11,10,73,63,67,3.5,3.5,3.5,0.07499999999999996,0.07499999999999996,0.18500000000000005,0.476666666667,0.33333333333299997,0.044444444443999975,-0.07499999999999996,-0.07499999999999996,-0.18500000000000005,0.476666666667,0.33333333333299997,-0.044444444443999975
2,20,weiblich,Ja,chemie (b.sc.),4,4,24,cmap,0.625,0.3,17.6188947381666,10.6029580872839,896.296,978.153,844.122,61,29,71,58,37,71,3,3,4,4,4,4,8,7,6,2,2,2,16,12,15,4,3,3,3,3,2,18,21,33,1.5,1,1,0.45999999999999996,0.12,0.20499999999999996,0.10999999999999999,0.21000000000000002,0.03857142857099993,0.45999999999999996,0.12,0.20499999999999996,0.10999999999999999,-0.21000000000000002,0.03857142857099993
3,22,weiblich,Ja,biologie (b.sc.),9,9,77,control-group,0.25,0.4,12.8607876803338,13.5621743415921,957.613,904.305,706.902,75,70,95,70,90,95,1,1,1,4,7,9,9,11,12,1,1,1,24,20,20,5,6,7,3,4,4,41,40,40,NA,2,2,0.44999999999999996,0.4,NA,0.313636363636,0.09999999999999998,0.125,0.44999999999999996,0.4,NA,0.313636363636,0.09999999999999998,0.125
4,26,weiblich,Ja,"biologie (staatsexamen - lehramt gymnasium), sport (staatsexamen)",8,10,66,cmap,0.375,0.2,18.1334010449216,11.9797438010525,910.292,914.114,976.025,51,61,80,49,65,80,2,2,3,1,2,3,8,13,17,2,1,1,18,24,26,3,5,7,4,7,9,22,46,43,1,2.5,3.5,0.07499999999999996,0.025000000000000022,0.24,0.36250000000000004,0.193333333333,0.08142857142900001,-0.07499999999999996,0.025000000000000022,0.24,0.36250000000000004,0.193333333333,0.08142857142900001
5,21,männlich,Ja,humanmedizin (staatsexamen),4,4,118,integrated,0.5,0.3,11.3937947846949,14.4549109563798,586.874,549.394,870.124,89,91,80,87,86,86,2,3,2,7,8,1,11,5,6,3,1,1,25,19,22,6,4,5,4,0,0,45,45,53,2.5,2,2,0.36,0.36,0.245,0.19999999999999996,0.08999999999999997,0.29000000000000004,0.36,0.36,0.245,-0.19999999999999996,-0.08999999999999997,0.29000000000000004
6,20,weiblich,Ja,chemie (b.sc.),3,3,64,integrated,0.375,0.4,14.488061051419,9.97258068016435,772.165,620.607,817.198,61,63,80,71,74,80,5,3,2,7,2,7,7,10,13,1,3,1,29,24,33,4,3,8,2,6,4,59,30,68,2,1.5,1.5,0.42500000000000004,0.365,0.20999999999999996,0.13333333333300001,0.296666666667,0.05666666666700004,0.42500000000000004,0.365,0.20999999999999996,0.13333333333300001,0.296666666667,-0.05666666666700004
7,31,weiblich,Ja,pharmazie ( staatsexamen ),7,11,30,control-group,0.25,0.1,16.0123407460935,NA,825.258,978.317,615.116,50,70,50,50,80,50,1,2,2,7,7,6,16,12,16,6,2,2,37,29,34,5,5,11,10,6,4,53,65,83,0,1,1,0.25,0.55,0.5,0.233333333333,0.24545454545499995,0.16666666666699997,0.25,0.55,0.5,-0.233333333333,0.24545454545499995,0.16666666666699997
8,25,männlich,Ja,biologie (m.sc.),2,10,116,cmap-integrated,0.75,0.7,23.6694834389446,21.3787662873723,896.482,901.152,953.896,21,35,79,30,75,82,2,2,3,2,3,7,8,9,12,1,3,1,40,35,39,4,4,5,3,4,6,93,68,91,2.5,2,3.5,0.05500000000000005,0.25,0.325,0.33545454545500003,0.15000000000000002,0.3614285714290001,-0.05500000000000005,0.25,-0.325,0.33545454545500003,-0.15000000000000002,-0.3614285714290001
9,19,weiblich,Ja,waldwirtschaft und umwelt,2,2,22,integrated,0.375,0.1,17.5624030436444,15.9209742851468,659.079,542.927,787.498,57,41,59,59,42,61,3,3,2,4,5,3,6,5,7,3,1,1,13,14,19,0,4,6,5,0,0,12,28,32,1,1,3,0.14,0.16999999999999998,0.33999999999999997,0.41000000000000003,0.5900000000000001,0.57,-0.14,0.16999999999999998,0.33999999999999997,-0.41000000000000003,-0.5900000000000001,0.57
10,21,weiblich,Ja,chemie (b.sc.),5,5,63,cmap,0.375,0.1,34.1009892506188,19.704106587426,907.726,922.149,946.899,62,71,69,60,43,77,3,3,2,6,3,7,15,11,14,1,4,3,27,24,32,7,4,7,7,6,6,31,26,37,1,1.5,1.5,0.395,0.05499999999999999,0.35,0.151538461538,0.30999999999999994,0.12,0.395,0.05499999999999999,0.35,0.151538461538,0.30999999999999994,0.12
11,22,weiblich,Ja,forstwissenschaften/forest sciences (m.sc.),6,6,20,cmap,0.25,0.5,10.413277403761,14.9562012894354,872.314,783.831,848.981,33,32,42,55,46,75,6,4,3,5,3,4,16,11,12,1,1,1,28,13,15,7,2,4,8,8,7,54,29,23,3,1.5,2.5,0.125,0.08500000000000002,0.19999999999999996,0.05636363636399999,0.12,0.136666666667,0.125,0.08500000000000002,-0.19999999999999996,0.05636363636399999,0.12,-0.136666666667
12,22,männlich,Ja,humanmedizin (staatsexamen),6,6,121,cmap-integrated,0.5,0.9,19.827363851598,9.91518823421695,887.131,909.734,932.055,69,60,72,65,60,75,2,2,2,8,3,3,12,14,19,3,1,1,29,24,32,5,10,11,6,3,7,41,56,66,1.5,3,4,0.25,0.15000000000000002,0.275,0.10888888888899995,0.169230769231,0.23545454545499994,-0.25,-0.15000000000000002,0.275,0.10888888888899995,-0.169230769231,0.23545454545499994
13,24,weiblich,Ja,hydrologie,10,10,52,integrated,0.375,0.1,15.859104644049,13.3356621898688,813.696,728.405,889.818,56,70,80,43,29,51,4,3,3,6,2,5,11,13,12,1,2,1,25,29,30,5,4,8,5,8,3,47,48,61,3,1,1.5,0.135,0.03999999999999998,0.32,0.07272727272700008,0.36666666666699993,0.06000000000000005,0.135,0.03999999999999998,-0.32,0.07272727272700008,0.36666666666699993,0.06000000000000005
14,18,weiblich,Ja,humanmedizin (staatsexamen),2,2,67,cmap-integrated,0.625,0.3,22.5011032198882,15.7019406557948,908.128,881.385,978.41,30,30,70,50,55,60,2,2,1,1,1,2,12,9,14,1,2,1,29,25,32,9,6,9,2,2,4,74,53,79,3,2.5,4,0.4,0.07499999999999996,0.25,0.007692307691999911,0.45,0.5181818181819999,-0.4,-0.07499999999999996,-0.25,0.007692307691999911,-0.45,-0.5181818181819999
15,25,männlich,Ja,biologie (m.sc.),1,9,3,cmap,0.75,0.3,33.1045371966272,24.3060035347632,897.26,910.588,945.004,65,68,77,53,52,84,3,2,2,7,2,4,10,9,15,3,4,2,39,34,48,3,3,4,6,5,10,84,71,118,3,2,2.5,0.21499999999999997,0.020000000000000018,0.21999999999999997,0.48428571428600004,0.30500000000000005,0.316666666667,0.21499999999999997,0.020000000000000018,-0.21999999999999997,0.48428571428600004,0.30500000000000005,0.316666666667
